maintenance_id,vehicule_id,date,type_intervention,categorie,cout_fcfa,jours_immobilisation,km_compteur
MT-00059,WV-IT-688,2023-12-18,Entretien préventif,Vidange/Révision,26038,1,887
MT-00060,AA-885-QG,2023-12-19,Entretien préventif,Vidange/Révision,25000,1,1221
MT-00061,WV-IT-703,2023-12-22,Entretien préventif,Vidange/Révision,69854,1,4207
MT-00062,WV-321,2023-12-23,Entretien préventif,Vidange/Révision,76837,1,3731
MT-00063,AA-892-QG,2023-12-27,Entretien préventif,Vidange/Révision,25000,1,1295
MT-00064,WV-IT-561,2024-01-03,Entretien préventif,Vidange/Révision,100985,1,8187
MT-00065,WVIT-700,2024-01-03,Entretien préventif,Vidange/Révision,95175,1,6420
MT-00066,WV-IT-552,2024-01-09,Entretien préventif,Vidange/Révision,95777,1,5615
MT-00067,WV-IT-693,2024-01-10,Entretien préventif,Vidange/Révision,115791,1,8207
MT-00068,AA-865-QG,2024-01-13,Panne,Électrique/Batterie,88238,1,1315
MT-00069,WV-IT-575,2024-01-17,Entretien préventif,Vidange/Révision,95536,1,5893
MT-00070,WVIT-699,2024-01-20,Entretien préventif,Vidange/Révision,87882,1,9322
MT-00071,WV-IT-534,2024-01-24,Entretien préventif,Vidange/Révision,64117,1,4849
MT-00072,AA-902-QG,2024-01-24,Entretien préventif,Vidange/Révision,25000,1,1132
MT-00073,WV-IT-514,2024-01-30,Panne,Pneumatique,111553,1,8700
MT-00074,AA-831-RH,2024-02-02,Entretien préventif,Vidange/Révision,45118,1,1421
MT-00075,WV-IT-514,2024-02-08,Entretien préventif,Vidange/Révision,60477,1,9302
MT-00076,WVIT-702,2024-02-10,Entretien préventif,Vidange/Révision,90370,1,13207
MT-00077,WV-IT-529,2024-02-11,Entretien préventif,Vidange/Révision,44480,1,11787
MT-00078,WV-IT-527,2024-02-13,Entretien préventif,Vidange/Révision,107048,1,4929
MT-00079,WV-IT-665,2024-02-14,Entretien préventif,Vidange/Révision,52107,1,1909
MT-00080,WV-IT-517,2024-02-15,Entretien préventif,Vidange/Révision,92868,1,5314
MT-00081,AA-737-NW,2024-02-17,Entretien préventif,Vidange/Révision,38454,1,1161
MT-00082,WV-IT-603,2024-02-20,Entretien préventif,Vidange/Révision,30746,1,1356
MT-00083,WV-IT-578,2024-02-21,Entretien préventif,Vidange/Révision,25000,1,1517
MT-00084,AA-425-NX,2024-02-21,Entretien préventif,Vidange/Révision,34697,1,1626
MT-00085,AA-897-QG,2024-02-23,Entretien préventif,Vidange/Révision,25000,1,1673
MT-00086,WVIT-681,2024-02-23,Entretien préventif,Vidange/Révision,41336,1,3914
MT-00087,WV-IT-575,2024-02-29,Panne,Embrayage/Transmission,604740,5,8555
MT-00088,WV-IT-568,2024-03-01,Entretien préventif,Vidange/Révision,71664,1,8073
MT-00089,WVIT-701,2024-03-05,Entretien préventif,Vidange/Révision,59984,1,13036
MT-00090,WVTEST3,2024-03-06,Entretien préventif,Vidange/Révision,75646,1,4382
MT-00091,WVIT694,2024-03-07,Entretien préventif,Vidange/Révision,86642,1,8867
MT-00092,WV-IT-551,2024-03-08,Entretien préventif,Vidange/Révision,92990,1,9385
MT-00093,AA-840-QG,2024-03-09,Entretien préventif,Vidange/Révision,39643,1,1633
MT-00094,AA-934-QX,2024-03-09,Entretien préventif,Vidange/Révision,25000,1,1731
MT-00095,WV-IT-564,2024-03-09,Entretien préventif,Vidange/Révision,117114,1,12437
MT-00096,WV-IT-661,2024-03-13,Entretien préventif,Vidange/Révision,41820,1,1901
MT-00097,AA-986-QX,2024-03-16,Entretien préventif,Vidange/Révision,29021,1,1709
MT-00098,AA-891-QG,2024-03-16,Entretien préventif,Vidange/Révision,37488,1,1663
MT-00099,WV-IT-692,2024-03-21,Entretien préventif,Vidange/Révision,98431,1,6402
MT-00100,WV-IT-691,2024-03-21,Entretien préventif,Vidange/Révision,57418,1,13108
MT-00101,WV-IT-561,2024-03-22,Entretien préventif,Vidange/Révision,65650,1,13301
MT-00102,WV-IT-567,2024-03-27,Entretien préventif,Vidange/Révision,111615,1,12489
MT-00103,WV-IT-574,2024-03-29,Entretien préventif,Vidange/Révision,57935,1,12042
MT-00104,WV-IT-633,2024-03-30,Entretien préventif,Vidange/Révision,51389,1,1876
MT-00105,AA-746-NW,2024-04-02,Entretien préventif,Vidange/Révision,62783,1,1951
MT-00106,WVIT-699,2024-04-05,Entretien préventif,Vidange/Révision,101749,1,14368
MT-00107,AA-336-QK,2024-04-11,Entretien préventif,Vidange/Révision,25000,1,2202
MT-00108,WVIT-700,2024-04-15,Entretien préventif,Vidange/Révision,93739,1,11648
MT-00109,WV-IT-660,2024-04-17,Entretien préventif,Vidange/Révision,35533,1,1885
MT-00110,WV-IT-686,2024-04-19,Entretien préventif,Vidange/Révision,25000,1,2196
MT-00111,WV-IT-569,2024-04-23,Entretien préventif,Vidange/Révision,101691,1,7457
MT-00112,AA-735-NW,2024-04-23,Entretien préventif,Vidange/Révision,52843,1,2611
MT-00113,WV-IT-575,2024-04-24,Entretien préventif,Vidange/Révision,81132,1,11242
MT-00114,AA-373-QK,2024-04-25,Entretien préventif,Vidange/Révision,25000,1,2189
MT-00115,WVIT-702,2024-04-28,Entretien préventif,Vidange/Révision,79567,1,18282
MT-00116,AA-752-NW,2024-05-02,Entretien préventif,Vidange/Révision,25000,1,2084
MT-00117,987297,2024-05-04,Panne,Moteur,656002,7,2013
MT-00118,AA-340-QK,2024-05-07,Entretien préventif,Vidange/Révision,51352,1,1678
MT-00119,WV-IT-703,2024-05-07,Entretien préventif,Vidange/Révision,90704,1,9299
MT-00120,WV-IT-693,2024-05-08,Entretien préventif,Vidange/Révision,115622,1,13220
MT-00121,AA-665-QG,2024-05-10,Entretien préventif,Vidange/Révision,32147,1,2297
MT-00122,WV-IT-529,2024-05-14,Entretien préventif,Vidange/Révision,87778,1,16981
MT-00123,AA-280-QK,2024-05-17,Entretien préventif,Vidange/Révision,27726,1,2239
MT-00124,WV-IT-552,2024-05-21,Entretien préventif,Vidange/Révision,62185,1,10705
MT-00125,WV-IT-561,2024-05-21,Entretien préventif,Vidange/Révision,109586,1,18524
MT-00126,AA-284-QK,2024-05-21,Entretien préventif,Vidange/Révision,31144,1,2234
MT-00127,WV-321,2024-05-23,Entretien préventif,Vidange/Révision,118020,1,8778
MT-00128,AA-739-NW,2024-05-24,Entretien préventif,Vidange/Révision,25000,1,2001
MT-00129,WV-IT-685,2024-05-25,Entretien préventif,Vidange/Révision,25000,1,2516
MT-00130,WV-IT-568,2024-05-29,Entretien préventif,Vidange/Révision,85437,1,13181
MT-00131,WV-IT-514,2024-05-29,Entretien préventif,Vidange/Révision,92877,1,14401
MT-00132,AA-905-QG,2024-05-30,Entretien préventif,Vidange/Révision,25000,1,2298
MT-00133,WVIT694,2024-05-30,Entretien préventif,Vidange/Révision,85194,1,13943
MT-00134,WVIT-576,2024-06-11,Entretien préventif,Vidange/Révision,91357,1,8607
MT-00135,WVIT-701,2024-06-11,Entretien préventif,Vidange/Révision,96002,1,18360
MT-00136,WV-IT-662,2024-06-12,Entretien préventif,Vidange/Révision,38807,1,2436
MT-00137,WV-IT-567,2024-06-13,Entretien préventif,Vidange/Révision,93342,1,17515
MT-00138,WV-IT-564,2024-06-14,Entretien préventif,Vidange/Révision,71426,1,17468
MT-00139,AA-683-NW,2024-06-14,Entretien préventif,Vidange/Révision,25000,1,2577
MT-00140,WV-IT-568,2024-06-19,Panne,Moteur,648342,9,13665
MT-00141,WV-IT-680,2024-06-27,Entretien préventif,Vidange/Révision,79215,1,7550
MT-00142,AA-423-NX,2024-07-07,Entretien préventif,Vidange/Révision,25000,1,2548
MT-00143,WV-IT-691,2024-07-08,Entretien préventif,Vidange/Révision,74511,1,18215
MT-00144,WV-IT-551,2024-07-09,Entretien préventif,Vidange/Révision,97482,1,14424
MT-00145,AA-973-NW,2024-07-13,Entretien préventif,Vidange/Révision,25000,1,2920
MT-00146,WVIT-702,2024-07-13,Entretien préventif,Vidange/Révision,85282,1,23605
MT-00147,AA-345-QK,2024-07-16,Entretien préventif,Vidange/Révision,25000,1,2731
MT-00148,WV-IT-534,2024-07-17,Entretien préventif,Vidange/Révision,76853,1,9968
MT-00149,AA-881-QG,2024-07-20,Entretien préventif,Vidange/Révision,39213,1,2682
MT-00150,WV-IT-602,2024-07-20,Entretien préventif,Vidange/Révision,25000,1,2542
MT-00151,WV-IT-529,2024-07-25,Panne,Électrique/Batterie,99864,2,22161
MT-00152,WV-IT-574,2024-07-25,Entretien préventif,Vidange/Révision,111301,1,17089
MT-00153,987298,2024-07-27,Panne,Moteur,1088058,6,2460
MT-00154,WV-IT-527,2024-07-27,Entretien préventif,Vidange/Révision,87583,1,9965
MT-00155,WV-IT-529,2024-07-28,Entretien préventif,Vidange/Révision,101347,1,22161
MT-00156,AA-846-QG,2024-07-29,Entretien préventif,Vidange/Révision,25000,1,3191
MT-00157,WV-IT-637,2024-08-02,Entretien préventif,Vidange/Révision,54593,1,2949
MT-00158,AA-218-QX,2024-08-09,Entretien préventif,Vidange/Révision,45220,1,3408
MT-00159,AA-170-QY,2024-08-09,Entretien préventif,Vidange/Révision,37474,1,2987
MT-00160,WVIT-700,2024-08-09,Entretien préventif,Vidange/Révision,84672,1,16704
MT-00161,WV-IT-680,2024-08-15,Panne,Moteur,814056,7,8719
MT-00162,WV-IT-639,2024-08-16,Entretien préventif,Vidange/Révision,34074,1,2585
MT-00163,WV-IT-572,2024-08-17,Entretien préventif,Vidange/Révision,31330,1,3160
MT-00164,WV-IT-552,2024-08-20,Entretien préventif,Vidange/Révision,107767,1,15941
MT-00165,AA-299-TE,2024-08-20,Entretien préventif,Vidange/Révision,32666,1,3146
MT-00166,WV-IT-693,2024-08-20,Entretien préventif,Vidange/Révision,88079,1,18535
MT-00167,987298,2024-08-22,Entretien préventif,Vidange/Révision,31694,1,2700
MT-00168,WV-IT-575,2024-08-24,Entretien préventif,Vidange/Révision,102550,1,16555
MT-00169,AA-865-QG,2024-08-28,Entretien préventif,Vidange/Révision,25000,1,2953
MT-00170,WVIT-699,2024-08-28,Entretien préventif,Vidange/Révision,110804,1,19503
MT-00171,WVIT-576,2024-09-10,Panne,Embrayage/Transmission,659044,6,11033
MT-00172,WV-IT-517,2024-09-10,Entretien préventif,Vidange/Révision,76203,1,10365
MT-00173,WVTEST3,2024-09-10,Entretien préventif,Vidange/Révision,94028,1,9493
MT-00174,WV-IT-514,2024-09-11,Entretien préventif,Vidange/Révision,86253,1,19611
MT-00175,AA-903-QG,2024-09-12,Entretien préventif,Vidange/Révision,25000,1,3564
MT-00176,WV-IT-640,2024-09-21,Entretien préventif,Vidange/Révision,50507,1,2774
MT-00177,AA-240-PJ,2024-09-25,Entretien préventif,Vidange/Révision,51903,1,3369
MT-00178,AA-941-QX,2024-09-26,Entretien préventif,Vidange/Révision,48674,1,2865
MT-00179,WV-IT-561,2024-09-27,Entretien préventif,Vidange/Révision,98582,1,23697
MT-00180,WV-IT-564,2024-10-01,Entretien préventif,Vidange/Révision,69764,1,22549
MT-00181,WV-IT-585,2024-10-02,Entretien préventif,Vidange/Révision,46074,1,3653
MT-00182,WVIT694,2024-10-02,Entretien préventif,Vidange/Révision,80398,1,18979
MT-00183,WV-IT-568,2024-10-08,Entretien préventif,Vidange/Révision,95149,1,18213
MT-00184,WVIT-701,2024-10-08,Entretien préventif,Vidange/Révision,86401,1,23615
MT-00185,AA-748-NW,2024-10-11,Entretien préventif,Vidange/Révision,53774,1,3627
MT-00186,AA-814-QG,2024-10-13,Entretien préventif,Vidange/Révision,34764,1,3854
MT-00187,WV-IT-567,2024-10-16,Entretien préventif,Vidange/Révision,90449,1,22528
MT-00188,WV-IT-689,2024-10-16,Entretien préventif,Vidange/Révision,25000,1,3357
MT-00189,WV-IT-529,2024-10-17,Entretien préventif,Vidange/Révision,73822,1,27230
MT-00190,WV-IT-692,2024-10-18,Entretien préventif,Vidange/Révision,115842,1,11433
MT-00191,WV-IT-691,2024-10-18,Entretien préventif,Vidange/Révision,71648,1,23274
MT-00192,WV-IT-565,2024-10-18,Entretien préventif,Vidange/Révision,34280,1,3456
MT-00193,WV-IT-574,2024-10-24,Entretien préventif,Vidange/Révision,73107,1,22141
MT-00194,WV-IT-551,2024-10-29,Entretien préventif,Vidange/Révision,101681,1,19578
MT-00195,WVIT-681,2024-10-29,Entretien préventif,Vidange/Révision,106017,1,9059
MT-00196,WV-IT-569,2024-10-31,Entretien préventif,Vidange/Révision,82304,1,12550
MT-00197,WV-IT-703,2024-11-02,Entretien préventif,Vidange/Révision,69689,1,14306
MT-00198,WVIT-702,2024-11-03,Entretien préventif,Vidange/Révision,104585,1,28915
MT-00199,WVIT-699,2024-11-06,Entretien préventif,Vidange/Révision,85647,1,24659
MT-00200,WV-IT-638,2024-11-07,Entretien préventif,Vidange/Révision,25000,1,3471
MT-00201,AA-286-TE,2024-11-12,Entretien préventif,Vidange/Révision,25000,1,3590
MT-00202,WV-IT-636,2024-11-13,Entretien préventif,Vidange/Révision,27210,1,3307
MT-00203,AA-728-NW,2024-11-15,Entretien préventif,Vidange/Révision,35363,1,3626
MT-00204,AA-979-QX,2024-11-16,Entretien préventif,Vidange/Révision,25000,1,3408
MT-00205,AA-658-NW,2024-11-16,Entretien préventif,Vidange/Révision,31391,1,4177
MT-00206,WVIT-576,2024-11-16,Entretien préventif,Vidange/Révision,84037,1,13682
MT-00207,WV-IT-692,2024-11-19,Panne,Freinage,248790,2,12185
MT-00208,AA-242-PJ,2024-11-20,Entretien préventif,Vidange/Révision,37718,1,4054
MT-00209,WVIT-700,2024-11-20,Entretien préventif,Vidange/Révision,66651,1,21868
MT-00210,AA-488-QH,2024-11-21,Entretien préventif,Vidange/Révision,39448,1,3532
MT-00211,AA-951-QX,2024-11-22,Entretien préventif,Vidange/Révision,25000,1,4188
MT-00212,WV-IT-693,2024-11-22,Entretien préventif,Vidange/Révision,73501,1,23807
MT-00213,AA-278-QK,2024-11-23,Entretien préventif,Vidange/Révision,36575,1,3780
MT-00214,WV-IT-568,2024-11-27,Panne,Électrique/Batterie,62920,1,21838
MT-00215,WV-IT-575,2024-11-26,Entretien préventif,Vidange/Révision,58468,1,21826
MT-00216,WV-IT-664,2024-11-28,Entretien préventif,Vidange/Révision,41949,1,3482
MT-00217,WV-IT-599,2024-11-29,Entretien préventif,Vidange/Révision,37893,1,3690
MT-00218,WV-IT-552,2024-12-03,Entretien préventif,Vidange/Révision,88016,1,21165
MT-00219,WV-IT-514,2024-12-04,Entretien préventif,Vidange/Révision,74598,1,24798
MT-00220,AA-471-NX,2024-12-09,Entretien préventif,Vidange/Révision,25000,1,4502
MT-00221,AA-908-QG,2024-12-12,Entretien préventif,Vidange/Révision,39208,1,4024
MT-00222,WV-IT-582,2024-12-14,Entretien préventif,Vidange/Révision,47859,1,4474
MT-00223,WVIT694,2024-12-20,Entretien préventif,Vidange/Révision,65731,1,24142
MT-00224,WV-IT-568,2024-12-21,Entretien préventif,Vidange/Révision,110705,1,23431
MT-00225,WV-321,2024-12-21,Entretien préventif,Vidange/Révision,45175,1,13894
MT-00226,WV-IT-561,2024-12-24,Entretien préventif,Vidange/Révision,97233,1,28823
MT-00227,WV-IT-564,2025-01-01,Entretien préventif,Vidange/Révision,105149,1,27561
MT-00228,WVIT-701,2025-01-01,Entretien préventif,Vidange/Révision,71674,1,28925
MT-00229,WV-IT-517,2025-01-04,Entretien préventif,Vidange/Révision,120418,1,15515
MT-00230,WV-IT-564,2025-01-10,Panne,Freinage,196337,1,28218
MT-00231,WV-IT-529,2025-01-08,Entretien préventif,Vidange/Révision,81234,1,32355
MT-00232,AA-369-QX,2025-01-17,Entretien préventif,Vidange/Révision,25000,1,3912
MT-00233,WV-IT-680,2025-01-20,Entretien préventif,Vidange/Révision,89158,1,12613
MT-00234,WV-IT-691,2025-01-22,Entretien préventif,Vidange/Révision,102051,1,28412
MT-00235,AA-983-NW,2025-01-28,Entretien préventif,Vidange/Révision,27456,1,4211
MT-00236,WV-IT-551,2025-01-31,Entretien préventif,Vidange/Révision,87608,1,24598
MT-00237,AA-340-QK,2025-02-01,Panne,Pneumatique,127095,1,3547
MT-00238,81787,2025-02-05,Entretien préventif,Vidange/Révision,25000,1,4115
MT-00239,AA-742-NW,2025-02-05,Entretien préventif,Vidange/Révision,40951,1,4130
MT-00240,WV-IT-567,2025-02-06,Entretien préventif,Vidange/Révision,63618,1,27611
MT-00241,WVIT-702,2025-02-07,Entretien préventif,Vidange/Révision,85267,1,34115
MT-00242,WVIT-700,2025-02-08,Entretien préventif,Vidange/Révision,76146,1,26933
MT-00243,WVIT-699,2025-02-20,Entretien préventif,Vidange/Révision,79990,1,29763
MT-00244,WV-IT-527,2025-02-22,Entretien préventif,Vidange/Révision,76779,1,15006
MT-00245,WV-IT-574,2025-02-23,Entretien préventif,Vidange/Révision,115505,1,27370
MT-00246,WV-IT-687,2025-02-25,Entretien préventif,Vidange/Révision,25000,1,5294
MT-00247,WV-IT-575,2025-03-05,Entretien préventif,Vidange/Révision,85865,1,27035
MT-00248,AA-126-QX,2025-03-06,Entretien préventif,Vidange/Révision,45171,1,4227
MT-00249,WV-IT-579,2025-03-12,Entretien préventif,Vidange/Révision,35185,1,4378
MT-00250,AA-497-QG,2025-03-12,Entretien préventif,Vidange/Révision,25000,1,4300
MT-00251,AA-858-QG,2025-03-14,Entretien préventif,Vidange/Révision,25000,1,5190
MT-00252,WV-IT-514,2025-03-16,Entretien préventif,Vidange/Révision,96824,1,30042
MT-00253,WV-IT-561,2025-03-16,Entretien préventif,Vidange/Révision,81592,1,34015
MT-00254,WV-IT-684,2025-03-17,Entretien préventif,Vidange/Révision,35932,1,4592
MT-00255,WV-IT-564,2025-03-18,Entretien préventif,Vidange/Révision,86690,1,32649
MT-00256,WV-IT-693,2025-03-18,Entretien préventif,Vidange/Révision,98442,1,28970
MT-00257,WVIT-701,2025-03-18,Entretien préventif,Vidange/Révision,113058,1,33975
MT-00258,WV-IT-534,2025-03-19,Entretien préventif,Vidange/Révision,83183,1,15058
MT-00259,WVTEST3,2025-03-20,Entretien préventif,Vidange/Révision,90666,1,14494
MT-00260,AA-744-NW,2025-03-20,Entretien préventif,Vidange/Révision,25000,1,4853
MT-00261,AA-833-RH,2025-03-28,Entretien préventif,Vidange/Révision,43415,1,5526
MT-00262,AA-290-TE,2025-04-08,Entretien préventif,Vidange/Révision,26835,1,4868
MT-00263,WV-IT-552,2025-04-09,Entretien préventif,Vidange/Révision,101850,1,26445
MT-00264,WV-IT-691,2025-04-09,Entretien préventif,Vidange/Révision,101670,1,33434
MT-00265,WV-IT-568,2025-04-11,Entretien préventif,Vidange/Révision,82592,1,28481
MT-00266,AA-968-NW,2025-04-11,Entretien préventif,Vidange/Révision,25000,1,5057
MT-00267,WV-IT-567,2025-04-19,Panne,Freinage,161612,2,31480
MT-00268,WVIT694,2025-04-18,Entretien préventif,Vidange/Révision,65993,1,29261
MT-00269,AA-283-QK,2025-04-19,Entretien préventif,Vidange/Révision,49769,1,4440
MT-00270,WVIT-699,2025-04-19,Entretien préventif,Vidange/Révision,69969,1,34835
MT-00271,WV-IT-690,2025-04-22,Entretien préventif,Vidange/Révision,25000,1,5811
MT-00272,AA-945-QX,2025-04-26,Entretien préventif,Vidange/Révision,25000,1,4731
MT-00273,WV-IT-529,2025-04-26,Entretien préventif,Vidange/Révision,73618,1,37582
MT-00274,WV-IT-569,2025-04-29,Entretien préventif,Vidange/Révision,97558,1,17564
MT-00275,AA-853-QG,2025-04-29,Entretien préventif,Vidange/Révision,52455,1,4922
MT-00276,AA-284-TE,2025-05-01,Entretien préventif,Vidange/Révision,43165,1,5222
MT-00277,WV-IT-692,2025-05-08,Entretien préventif,Vidange/Révision,75310,1,16555
MT-00278,WVIT-700,2025-05-10,Entretien préventif,Vidange/Révision,105996,1,32038
MT-00279,AA-657-NW,2025-05-11,Entretien préventif,Vidange/Révision,29476,1,5426
MT-00280,AA-897-QG,2025-05-13,Panne,Climatisation,126451,1,5366
MT-00281,WV-IT-529,2025-05-14,Panne,Électrique/Batterie,133878,1,38770
MT-00282,WV-IT-551,2025-05-14,Entretien préventif,Vidange/Révision,86871,1,29631
MT-00283,WV-IT-703,2025-05-15,Entretien préventif,Vidange/Révision,78345,1,19382
MT-00284,WV-IT-575,2025-05-17,Entretien préventif,Vidange/Révision,84858,1,32098
MT-00285,WVIT-702,2025-05-21,Entretien préventif,Vidange/Révision,82545,1,39278
MT-00286,WV-IT-529,2025-05-24,Panne,Électrique/Batterie,68275,1,38851
MT-00287,WV-IT-567,2025-05-26,Entretien préventif,Vidange/Révision,70767,1,32852
MT-00288,WV-IT-693,2025-05-31,Entretien préventif,Vidange/Révision,94020,1,34007
MT-00289,AA-296-TE,2025-05-31,Entretien préventif,Vidange/Révision,25000,1,4396
MT-00290,WV-IT-564,2025-06-03,Entretien préventif,Vidange/Révision,64325,1,37729
MT-00291,WV-IT-691,2025-06-04,Entretien préventif,Vidange/Révision,75958,1,38483
MT-00292,WV-IT-561,2025-06-05,Entretien préventif,Vidange/Révision,88654,1,39027
MT-00293,AA-733-NW,2025-06-11,Entretien préventif,Vidange/Révision,38519,1,5174
MT-00294,WVIT-681,2025-06-12,Entretien préventif,Vidange/Révision,102667,1,14206
MT-00295,WV-IT-517,2025-06-13,Entretien préventif,Vidange/Révision,67456,1,20654
MT-00296,AA-210-PJ,2025-06-21,Entretien préventif,Vidange/Révision,25000,1,6090
MT-00297,AA-831-RH,2025-06-25,Entretien préventif,Vidange/Révision,25000,1,6422
MT-00298,WV-IT-574,2025-06-25,Entretien préventif,Vidange/Révision,70354,1,32653
MT-00299,WVIT-576,2025-06-26,Entretien préventif,Vidange/Révision,72835,1,18740
MT-00300,WV-IT-514,2025-06-27,Entretien préventif,Vidange/Révision,65145,1,35111
MT-00301,WVIT-702,2025-07-02,Panne,Embrayage/Transmission,480551,5,40574
MT-00302,AA-888-QG,2025-07-03,Entretien préventif,Vidange/Révision,25000,1,5595
MT-00303,WVIT-701,2025-07-03,Entretien préventif,Vidange/Révision,89841,1,39165
MT-00304,WV-321,2025-07-05,Entretien préventif,Vidange/Révision,77937,1,18967
MT-00305,WV-IT-568,2025-07-19,Entretien préventif,Vidange/Révision,84313,1,33500
MT-00306,WV-IT-527,2025-07-19,Entretien préventif,Vidange/Révision,84501,1,20146
MT-00307,AA-834-QG,2025-07-19,Entretien préventif,Vidange/Révision,29559,1,5393
