plein_id,mission_id,vehicule_id,chauffeur_id,date,litres,montant_fcfa,_anomalie_reelle
FL-000055,MS-000069,WV-IT-602,10027889,2023-08-15,5.1,5054,0
FL-000056,MS-000071,WV-IT-691,10027889,2023-08-15,70.5,69828,0
FL-000057,MS-000072,WV-IT-564,10027889,2023-08-15,51.2,50703,0
FL-000058,MS-000073,WV-IT-684,10027889,2023-08-15,5.1,5042,0
FL-000059,MS-000074,AA-423-NX,10027889,2023-08-15,3.8,3751,0
FL-000060,MS-000075,AA-471-NX,10027889,2023-08-15,6.2,6158,0
FL-000061,MS-000076,AA-657-NW,10027889,2023-08-15,2.5,2506,0
FL-000062,MS-000077,AA-746-NW,10027889,2023-08-15,5.3,5218,0
FL-000063,MS-000078,AA-497-QG,10027889,2023-08-15,7.0,6912,0
FL-000064,MS-000079,AA-891-QG,10027889,2023-08-15,1.6,1587,0
FL-000065,MS-000080,AA-814-QG,10027889,2023-08-15,4.0,3989,0
FL-000066,MS-000081,987297,10027889,2023-08-15,1.3,1299,0
FL-000067,MS-000084,WV-IT-703,10027889,2023-08-15,14.3,14177,0
FL-000068,MS-000085,WVIT-701,10027889,2023-08-15,9.0,8912,0
FL-000069,MS-000086,WVIT-681,10027889,2023-08-15,23.2,22933,0
FL-000070,MS-000087,WV-IT-569,10027889,2023-08-16,11.7,11547,0
FL-000071,MS-000088,WV-IT-517,10027889,2023-08-16,7.8,7677,0
FL-000072,MS-000089,WV-IT-551,10027889,2023-08-16,10.5,10388,0
FL-000073,MS-000091,WV-IT-575,10027889,2023-08-16,40.0,39639,1
FL-000074,MS-000092,WV-IT-692,10027889,2023-08-16,17.0,16810,0
FL-000075,MS-000093,WV-IT-561,10027889,2023-08-16,43.6,43168,0
FL-000076,MS-000094,AA-892-QG,10027889,2023-08-16,3.5,3493,0
FL-000077,MS-000096,AA-907-QG,10027889,2023-08-16,2.9,2838,0
FL-000078,MS-000097,AA-908-QG,10027889,2023-08-16,4.1,4075,0
FL-000079,MS-000098,AA-288-QK,10027889,2023-08-16,2.7,2692,0
FL-000080,MS-000099,AA-336-QK,10027889,2023-08-16,3.8,3734,0
FL-000081,MS-000100,AA-748-NW,10027889,2023-08-16,5.0,4974,0
FL-000082,MS-000101,AA-934-QX,10027889,2023-08-16,5.5,5485,0
FL-000083,MS-000102,AA-951-QX,10027889,2023-08-16,3.8,3742,0
FL-000084,MS-000103,WV-IT-685,10027889,2023-08-16,5.1,5019,0
FL-000085,MS-000104,WV-IT-636,10027889,2023-08-16,3.6,3537,0
FL-000086,MS-000105,WV-IT-582,10027889,2023-08-16,3.2,3177,0
FL-000087,MS-000106,WV-IT-602,10027889,2023-08-16,5.1,5025,0
FL-000088,MS-000107,WV-IT-529,10027889,2023-08-16,30.7,30382,0
FL-000089,MS-000108,WV-IT-663,10027889,2023-08-16,2.5,2459,0
FL-000090,MS-000109,WV-IT-665,10027889,2023-08-16,3.2,3202,0
FL-000091,MS-000110,WV-IT-660,10027889,2023-08-16,5.6,5529,0
FL-000092,MS-000111,AA-425-NX,10027889,2023-08-16,6.2,6126,0
FL-000093,MS-000112,AA-488-QH,10027889,2023-08-16,4.3,4269,0
FL-000094,MS-000113,AA-735-NW,10027889,2023-08-16,1.8,1758,0
FL-000095,MS-000114,AA-728-NW,10027889,2023-08-16,2.5,2488,0
FL-000096,MS-000115,AA-983-NW,10027889,2023-08-16,6.7,6625,0
FL-000097,MS-000116,WV-IT-689,10027889,2023-08-16,5.3,5198,0
FL-000098,MS-000117,AA-905-QG,10027889,2023-08-16,2.2,2162,0
FL-000099,MS-000118,AA-858-QG,10027889,2023-08-16,1.3,1265,0
FL-000100,MS-000119,AA-665-QG,10027889,2023-08-16,3.9,3821,0
FL-000101,MS-000120,WV-IT-662,10027889,2023-08-16,4.8,4726,0
FL-000102,MS-000121,AA-658-NW,10027889,2023-08-16,6.3,6261,0
FL-000103,MS-000123,WV-IT-572,10027889,2023-08-16,4.4,4353,0
FL-000104,MS-000124,WV-IT-693,10027889,2023-08-16,34.6,34251,0
FL-000105,MS-000125,WVIT-702,10027889,2023-08-16,46.8,46286,0
FL-000106,MS-000126,WV-IT-517,10027889,2023-08-17,22.2,21963,0
FL-000107,MS-000127,WV-IT-680,10027889,2023-08-17,10.6,10494,0
FL-000108,MS-000128,WV-IT-561,10027889,2023-08-17,34.4,34012,0
FL-000109,MS-000129,AA-888-QG,10027889,2023-08-17,8.2,8152,0
FL-000110,MS-000130,AA-881-QG,10027889,2023-08-17,6.9,6813,0
FL-000111,MS-000131,AA-892-QG,10027889,2023-08-17,3.7,3678,0
FL-000112,MS-000132,AA-840-QG,10027889,2023-08-17,8.2,8108,0
FL-000113,MS-000133,AA-210-PJ,10027889,2023-08-17,5.5,5479,1
FL-000114,MS-000134,AA-242-PJ,10027889,2023-08-17,8.0,7874,0
FL-000115,MS-000136,AA-903-QG,10027889,2023-08-17,4.4,4383,0
FL-000116,MS-000137,AA-902-QG,10027889,2023-08-17,2.7,2713,0
FL-000117,MS-000139,AA-748-NW,10027889,2023-08-17,8.7,8581,0
FL-000118,MS-000140,AA-941-QX,10027889,2023-08-17,4.8,4792,0
FL-000119,MS-000141,AA-986-QX,10027889,2023-08-17,3.9,3842,0
FL-000120,MS-000143,AA-831-RH,10027889,2023-08-17,5.1,5037,0
FL-000121,MS-000145,WV-IT-685,10027889,2023-08-17,7.4,7337,0
FL-000122,MS-000146,WV-IT-578,10027889,2023-08-17,4.2,4124,0
FL-000123,MS-000147,WV-IT-603,10027889,2023-08-17,1.2,1233,0
FL-000124,MS-000148,WV-IT-585,10027889,2023-08-17,1.3,1309,0
FL-000125,MS-000149,WV-IT-529,10027889,2023-08-17,42.1,41681,0
FL-000126,MS-000150,WV-IT-527,10027889,2023-08-17,8.6,8483,0
FL-000127,MS-000151,AA-471-NX,10027889,2023-08-17,4.0,3984,0
FL-000128,MS-000152,WV-IT-687,10027889,2023-08-17,4.3,4270,0
FL-000129,MS-000153,WV-IT-689,10027889,2023-08-17,4.0,3913,0
FL-000130,MS-000154,AA-905-QG,10027889,2023-08-17,4.9,4872,0
FL-000131,MS-000155,AA-497-QG,10027889,2023-08-17,4.7,4685,0
FL-000132,MS-000157,AA-885-QG,10027889,2023-08-17,2.2,2198,0
FL-000133,MS-000158,AA-858-QG,10027889,2023-08-17,4.8,4737,0
FL-000134,MS-000159,AA-665-QG,10027889,2023-08-17,2.3,2254,0
FL-000135,MS-000160,987297,10027889,2023-08-17,2.5,2486,0
FL-000136,MS-000161,WV-IT-638,10027889,2023-08-17,5.9,5874,0
FL-000137,MS-000162,WV-IT-637,10027889,2023-08-17,6.2,6164,0
FL-000138,MS-000163,WV-IT-572,10027889,2023-08-17,6.6,6492,0
FL-000139,MS-000164,WV-321,10027889,2023-08-17,20.1,19885,0
FL-000140,MS-000165,WVIT-702,10027889,2023-08-17,48.8,48281,0
FL-000141,MS-000166,WV-IT-569,10027889,2023-08-18,9.7,9554,0
FL-000142,MS-000167,WVTEST3,10027889,2023-08-18,21.2,20939,0
FL-000143,MS-000169,WV-IT-568,10027889,2023-08-18,31.3,30968,0
FL-000144,MS-000171,WV-IT-514,10027889,2023-08-18,33.5,33124,0
FL-000145,MS-000172,AA-840-QG,10027889,2023-08-18,8.8,8720,0
FL-000146,MS-000173,AA-210-PJ,10027889,2023-08-18,8.0,7872,0
FL-000147,MS-000174,AA-242-PJ,10027889,2023-08-18,7.2,7108,0
FL-000148,MS-000175,AA-369-QX,10027889,2023-08-18,8.3,8170,0
FL-000149,MS-000176,AA-126-QX,10027889,2023-08-18,3.9,3875,0
FL-000150,MS-000178,AA-908-QG,10027889,2023-08-18,4.4,4321,0
FL-000151,MS-000179,AA-902-QG,10027889,2023-08-18,3.7,3694,0
FL-000152,MS-000180,AA-280-QK,10027889,2023-08-18,4.6,4585,0
FL-000153,MS-000181,AA-278-QK,10027889,2023-08-18,4.7,4650,0
FL-000154,MS-000182,AA-283-QK,10027889,2023-08-18,4.4,4318,0
FL-000155,MS-000183,AA-284-QK,10027889,2023-08-18,2.6,2608,0
FL-000156,MS-000184,AA-739-NW,10027889,2023-08-18,3.3,3299,0
FL-000157,MS-000185,AA-744-NW,10027889,2023-08-18,7.0,6906,0
FL-000158,MS-000186,AA-748-NW,10027889,2023-08-18,8.0,7953,0
FL-000159,MS-000187,AA-170-QY,10027889,2023-08-18,5.6,5504,0
FL-000160,MS-000188,AA-155-QY,10027889,2023-08-18,4.1,4074,0
FL-000161,MS-000189,AA-728-RH,10027889,2023-08-18,1.5,1459,0
FL-000162,MS-000190,AA-831-RH,10027889,2023-08-18,6.3,6242,0
FL-000163,MS-000191,WV-IT-685,10027889,2023-08-18,2.6,2547,0
FL-000164,MS-000192,WV-IT-578,10027889,2023-08-18,5.2,5149,0
FL-000165,MS-000193,WV-IT-529,10027889,2023-08-18,23.2,22957,0
FL-000166,MS-000194,WV-IT-564,10027889,2023-08-18,53.7,53144,0
FL-000167,MS-000195,WV-IT-663,10027889,2023-08-18,5.6,5519,0
FL-000168,MS-000198,WV-IT-687,10027889,2023-08-18,5.6,5575,0
FL-000169,MS-000199,WV-IT-689,10027889,2023-08-18,5.6,5582,0
FL-000170,MS-000200,AA-286-TE,10027889,2023-08-18,1.2,1217,0
FL-000171,MS-000201,AA-891-QG,10027889,2023-08-18,4.5,4488,0
FL-000172,MS-000202,AA-834-QG,10027889,2023-08-18,4.8,4724,0
FL-000173,MS-000203,AA-858-QG,10027889,2023-08-18,3.8,3763,0
FL-000174,MS-000204,WV-IT-703,10027889,2023-08-18,4.6,4508,0
FL-000175,MS-000205,WVIT-576,10027889,2023-08-18,10.5,10345,0
FL-000176,MS-000206,WVIT-702,10027889,2023-08-18,37.3,36890,0
FL-000177,MS-000207,WVIT-699,10027889,2023-08-18,51.7,51205,0
FL-000178,MS-000208,AA-986-QX,10027889,2023-08-19,4.3,4295,0
FL-000179,MS-000209,WV-IT-665,10027889,2023-08-19,1.3,1275,0
FL-000180,MS-000210,AA-735-NW,10027889,2023-08-19,5.1,5066,0
FL-000181,MS-000211,AA-286-TE,10027889,2023-08-19,3.4,3346,0
FL-000182,MS-000212,AA-834-QG,10027889,2023-08-19,4.5,4476,0
FL-000183,MS-000213,AA-240-PJ,10027889,2023-08-20,4.9,4826,0
FL-000184,MS-000214,AA-288-QK,10027889,2023-08-20,6.5,6421,1
FL-000185,MS-000215,AA-170-QY,10027889,2023-08-20,4.9,4843,0
FL-000186,MS-000216,WV-IT-685,10027889,2023-08-20,6.0,5904,0
FL-000187,MS-000217,WV-IT-604,10027889,2023-08-20,6.0,5983,0
FL-000188,MS-000218,WV-IT-579,10027889,2023-08-20,3.5,3462,0
FL-000189,MS-000219,AA-742-NW,10027889,2023-08-20,4.0,3943,0
FL-000190,MS-000220,WV-IT-572,10027889,2023-08-20,5.1,5049,0
FL-000191,MS-000221,WVIT-701,10027889,2023-08-20,20.6,20351,0
FL-000192,MS-000222,WV-IT-569,10027889,2023-08-21,16.8,16608,0
FL-000193,MS-000223,WV-IT-680,10027889,2023-08-21,11.8,11707,0
FL-000194,MS-000225,WV-IT-568,10027889,2023-08-21,47.2,46691,0
FL-000195,MS-000226,WV-IT-575,10027889,2023-08-21,19.5,19296,0
FL-000196,MS-000227,WV-IT-514,10027889,2023-08-21,9.9,9828,0
FL-000197,MS-000228,AA-846-QG,10027889,2023-08-21,5.4,5379,0
FL-000198,MS-000229,AA-892-QG,10027889,2023-08-21,7.1,7038,0
FL-000199,MS-000231,AA-278-QK,10027889,2023-08-21,1.6,1563,0
FL-000200,MS-000232,AA-373-QK,10027889,2023-08-21,6.2,6095,0
FL-000201,MS-000233,AA-284-QK,10027889,2023-08-21,4.3,4262,0
FL-000202,MS-000234,AA-170-QY,10027889,2023-08-21,4.0,3948,0
FL-000203,MS-000236,AA-941-QX,10027889,2023-08-21,5.7,5639,0
FL-000204,MS-000237,AA-986-QX,10027889,2023-08-21,6.2,6108,0
FL-000205,MS-000238,AA-934-QX,10027889,2023-08-21,16.2,15995,1
FL-000206,MS-000239,AA-951-QX,10027889,2023-08-21,5.6,5560,0
FL-000207,MS-000240,WV-IT-602,10027889,2023-08-21,1.3,1304,0
FL-000208,MS-000241,WV-IT-604,10027889,2023-08-21,2.3,2254,0
FL-000209,MS-000242,WV-IT-585,10027889,2023-08-21,7.0,6889,0
FL-000210,MS-000243,WV-IT-663,10027889,2023-08-21,5.7,5673,0
FL-000211,MS-000244,WV-IT-664,10027889,2023-08-21,5.8,5731,0
FL-000212,MS-000246,AA-423-NX,10027889,2023-08-21,3.8,3727,0
FL-000213,MS-000247,AA-425-NX,10027889,2023-08-21,3.5,3458,0
FL-000214,MS-000248,AA-752-NW,10027889,2023-08-21,4.0,3913,0
FL-000215,MS-000249,AA-735-NW,10027889,2023-08-21,4.8,4773,0
FL-000216,MS-000250,AA-683-NW,10027889,2023-08-21,4.0,3977,0
FL-000217,MS-000251,AA-983-NW,10027889,2023-08-21,4.1,4046,0
FL-000218,MS-000252,AA-286-TE,10027889,2023-08-21,2.8,2764,0
FL-000219,MS-000253,AA-905-QG,10027889,2023-08-21,5.5,5398,0
FL-000220,MS-000254,AA-897-QG,10027889,2023-08-21,5.6,5563,0
FL-000221,MS-000255,AA-834-QG,10027889,2023-08-21,2.3,2300,0
FL-000222,MS-000256,AA-885-QG,10027889,2023-08-21,6.0,5975,0
FL-000223,MS-000257,AA-814-QG,10027889,2023-08-21,4.6,4573,0
FL-000224,MS-000258,AA-665-QG,10027889,2023-08-21,2.4,2406,0
FL-000225,MS-000259,WV-IT-661,10027889,2023-08-21,8.8,8730,0
FL-000226,MS-000260,AA-742-NW,10027889,2023-08-21,5.3,5230,0
FL-000227,MS-000261,987297,10027889,2023-08-21,2.2,2178,0
FL-000228,MS-000262,WV-IT-693,10027889,2023-08-21,45.6,45187,0
FL-000229,MS-000263,WVIT-700,10027889,2023-08-21,14.0,13838,0
FL-000230,MS-000264,WV-IT-703,10027889,2023-08-21,5.1,5064,0
FL-000231,MS-000266,WVIT-701,10027889,2023-08-21,43.6,43151,0
FL-000232,MS-000267,WVIT-702,10027889,2023-08-21,40.4,39983,0
FL-000233,MS-000269,WV-IT-561,10027889,2023-08-22,36.2,35856,0
FL-000234,MS-000270,AA-846-QG,10027889,2023-08-22,5.8,5763,0
FL-000235,MS-000271,AA-840-QG,10027889,2023-08-22,5.0,4996,0
FL-000236,MS-000272,AA-218-QX,10027889,2023-08-22,6.3,6263,0
FL-000237,MS-000273,AA-903-QG,10027889,2023-08-22,6.3,6192,0
FL-000238,MS-000274,AA-907-QG,10027889,2023-08-22,1.8,1737,0
FL-000239,MS-000276,AA-340-QK,10027889,2023-08-22,3.4,3389,0
FL-000240,MS-000277,AA-278-QK,10027889,2023-08-22,3.8,3759,0
FL-000241,MS-000278,AA-336-QK,10027889,2023-08-22,4.6,4545,0
FL-000242,MS-000279,AA-170-QY,10027889,2023-08-22,4.8,4748,0
FL-000243,MS-000280,AA-945-QX,10027889,2023-08-22,3.9,3892,0
FL-000244,MS-000281,AA-934-QX,10027889,2023-08-22,1.3,1238,0
FL-000245,MS-000282,AA-951-QX,10027889,2023-08-22,6.3,6229,0
FL-000246,MS-000284,WV-IT-574,10027889,2023-08-22,14.0,13880,0
FL-000247,MS-000285,WV-IT-633,10027889,2023-08-22,5.7,5681,0
FL-000248,MS-000286,WV-IT-636,10027889,2023-08-22,3.8,3727,0
FL-000249,MS-000288,WV-IT-564,10027889,2023-08-22,15.2,15024,0
FL-000250,MS-000289,WV-IT-684,10027889,2023-08-22,2.9,2873,0
FL-000251,MS-000290,AA-425-NX,10027889,2023-08-22,6.8,6717,0
FL-000252,MS-000291,AA-488-QH,10027889,2023-08-22,5.0,4999,0
FL-000253,MS-000293,AA-983-NW,10027889,2023-08-22,4.3,4220,0
FL-000254,MS-000294,WV-IT-686,10027889,2023-08-22,1.5,1527,0
FL-000255,MS-000295,AA-286-TE,10027889,2023-08-22,2.6,2609,0
FL-000256,MS-000296,AA-853-QG,10027889,2023-08-22,8.3,8175,0
FL-000257,MS-000297,AA-891-QG,10027889,2023-08-22,1.3,1242,0
FL-000258,MS-000298,AA-834-QG,10027889,2023-08-22,1.3,1278,0
FL-000259,MS-000299,AA-885-QG,10027889,2023-08-22,4.3,4240,0
FL-000260,MS-000300,AA-299-TE,10027889,2023-08-22,7.8,7762,0
FL-000261,MS-000301,AA-284-TE,10027889,2023-08-22,6.6,6578,0
FL-000262,MS-000302,WV-IT-565,10027889,2023-08-22,2.4,2343,0
FL-000263,MS-000303,AA-658-NW,10027889,2023-08-22,5.5,5489,0
FL-000264,MS-000304,WV-IT-690,10027889,2023-08-22,4.5,4426,0
FL-000265,MS-000305,987297,10027889,2023-08-22,1.3,1280,0
FL-000266,MS-000306,987298,10027889,2023-08-22,2.7,2650,0
FL-000267,MS-000307,AA-290-TE,10027889,2023-08-22,9.1,9051,0
FL-000268,MS-000308,WVIT-700,10027889,2023-08-22,13.9,13809,0
FL-000269,MS-000309,WV-IT-703,10027889,2023-08-22,8.8,8724,0
FL-000270,MS-000310,WVIT-576,10027889,2023-08-22,27.5,27246,0
FL-000271,MS-000311,WV-IT-551,10027889,2023-08-23,24.1,23869,0
FL-000272,MS-000312,WV-IT-567,10027889,2023-08-23,54.0,53479,0
FL-000273,MS-000313,AA-892-QG,10027889,2023-08-23,5.0,4941,0
FL-000274,MS-000314,AA-840-QG,10027889,2023-08-23,8.2,8072,0
FL-000275,MS-000316,AA-902-QG,10027889,2023-08-23,9.1,9048,0
FL-000276,MS-000317,AA-280-QK,10027889,2023-08-23,4.8,4800,0
FL-000277,MS-000318,AA-283-QK,10027889,2023-08-23,6.0,5976,0
FL-000278,MS-000319,AA-336-QK,10027889,2023-08-23,5.0,4970,0
FL-000279,MS-000320,AA-739-NW,10027889,2023-08-23,5.1,5025,0
FL-000280,MS-000321,AA-748-NW,10027889,2023-08-23,7.0,6885,0
FL-000281,MS-000322,AA-155-QY,10027889,2023-08-23,1.4,1356,0
FL-000282,MS-000323,AA-979-QX,10027889,2023-08-23,2.4,2419,1
FL-000283,MS-000324,AA-728-RH,10027889,2023-08-23,2.9,2830,0
FL-000284,MS-000326,WV-IT-582,10027889,2023-08-23,2.8,2779,0
FL-000285,MS-000327,WV-IT-602,10027889,2023-08-23,3.8,3743,0
FL-000286,MS-000328,WV-IT-578,10027889,2023-08-23,2.9,2912,0
FL-000287,MS-000330,WV-IT-603,10027889,2023-08-23,5.5,5405,0
FL-000288,MS-000331,WV-IT-527,10027889,2023-08-23,27.4,27077,0
FL-000289,MS-000334,AA-425-NX,10027889,2023-08-23,3.4,3368,0
FL-000290,MS-000336,AA-746-NW,10027889,2023-08-23,3.6,3551,0
FL-000291,MS-000337,AA-752-NW,10027889,2023-08-23,5.2,5102,0
FL-000292,MS-000338,AA-973-NW,10027889,2023-08-23,5.5,5433,0
FL-000293,MS-000339,AA-983-NW,10027889,2023-08-23,4.6,4517,0
FL-000294,MS-000340,WV-IT-689,10027889,2023-08-23,4.1,4017,0
FL-000295,MS-000341,AA-905-QG,10027889,2023-08-23,2.6,2582,0
FL-000296,MS-000342,AA-891-QG,10027889,2023-08-23,2.5,2496,0
FL-000297,MS-000343,AA-834-QG,10027889,2023-08-23,6.0,5987,0
FL-000298,MS-000344,AA-814-QG,10027889,2023-08-23,4.5,4471,0
FL-000299,MS-000346,WV-IT-565,10027889,2023-08-23,1.4,1401,0
FL-000300,MS-000347,WV-IT-662,10027889,2023-08-23,8.8,8681,0
FL-000301,MS-000348,AA-968-NW,10027889,2023-08-23,6.8,6702,0
FL-000302,MS-000349,WV-IT-637,10027889,2023-08-23,4.0,3997,0
FL-000303,MS-000350,WV-IT-693,10027889,2023-08-23,10.8,10702,0
FL-000304,MS-000351,AA-290-TE,10027889,2023-08-23,6.9,6856,0
FL-000305,MS-000352,WVIT-700,10027889,2023-08-23,45.3,44833,0
FL-000306,MS-000353,WV-321,10027889,2023-08-23,33.1,32751,1
FL-000307,MS-000354,WVIT-576,10027889,2023-08-23,27.7,27445,0
FL-000308,MS-000355,WVIT-701,10027889,2023-08-23,66.5,65873,0
FL-000309,MS-000357,WV-IT-567,10027889,2023-08-24,67.1,66460,0
FL-000310,MS-000358,WV-IT-534,10027889,2023-08-24,17.1,16941,0
FL-000311,MS-000360,AA-892-QG,10027889,2023-08-24,4.3,4267,1
FL-000312,MS-000361,AA-218-QX,10027889,2023-08-24,3.6,3592,0
FL-000313,MS-000362,AA-210-PJ,10027889,2023-08-24,4.5,4410,0
FL-000314,MS-000364,AA-336-QK,10027889,2023-08-24,5.7,5630,0
FL-000315,MS-000365,AA-284-QK,10027889,2023-08-24,3.0,2966,0
FL-000316,MS-000366,AA-744-NW,10027889,2023-08-24,5.2,5118,0
FL-000317,MS-000367,AA-170-QY,10027889,2023-08-24,2.7,2673,0
FL-000318,MS-000368,AA-986-QX,10027889,2023-08-24,5.5,5454,0
FL-000319,MS-000369,AA-979-QX,10027889,2023-08-24,2.9,2912,0
FL-000320,MS-000370,AA-728-RH,10027889,2023-08-24,4.0,3989,0
FL-000321,MS-000371,WV-IT-582,10027889,2023-08-24,3.2,3199,0
FL-000322,MS-000372,WV-IT-604,10027889,2023-08-24,4.8,4759,0
FL-000323,MS-000373,WV-IT-585,10027889,2023-08-24,8.1,7998,0
FL-000324,MS-000374,WV-IT-529,10027889,2023-08-24,15.1,14983,0
FL-000325,MS-000375,WV-IT-664,10027889,2023-08-24,7.6,7485,0
FL-000326,MS-000376,WV-IT-665,10027889,2023-08-24,7.1,7057,0
FL-000327,MS-000377,WV-IT-684,10027889,2023-08-24,4.0,3998,0
FL-000328,MS-000378,AA-423-NX,10027889,2023-08-24,5.0,4941,0
FL-000329,MS-000379,AA-657-NW,10027889,2023-08-24,2.5,2508,0
FL-000330,MS-000380,WV-IT-686,10027889,2023-08-24,6.4,6320,0
FL-000331,MS-000381,AA-286-TE,10027889,2023-08-24,2.6,2618,0
FL-000332,MS-000383,AA-905-QG,10027889,2023-08-24,5.1,5022,0
FL-000333,MS-000384,AA-814-QG,10027889,2023-08-24,2.8,2728,0
FL-000334,MS-000385,WV-IT-565,10027889,2023-08-24,6.5,6461,0
FL-000335,MS-000386,WV-IT-661,10027889,2023-08-24,3.2,3195,0
FL-000336,MS-000387,AA-742-NW,10027889,2023-08-24,3.8,3804,0
FL-000337,MS-000389,WVIT-702,10027889,2023-08-24,21.8,21590,0
FL-000338,MS-000390,WVIT-699,10027889,2023-08-24,37.8,37428,0
FL-000339,MS-000391,WV-IT-569,10027889,2023-08-25,14.8,14628,0
FL-000340,MS-000392,WV-IT-551,10027889,2023-08-25,19.8,19648,0
FL-000341,MS-000393,AA-888-QG,10027889,2023-08-25,4.6,4528,0
FL-000342,MS-000394,AA-846-QG,10027889,2023-08-25,3.4,3365,0
FL-000343,MS-000396,AA-210-PJ,10027889,2023-08-25,4.0,3912,0
FL-000344,MS-000397,WV-IT-571,10027889,2023-08-25,4.3,4277,0
FL-000345,MS-000398,WV-IT-570,10027889,2023-08-25,7.4,7340,0
FL-000346,MS-000400,AA-907-QG,10027889,2023-08-25,3.3,3283,0
FL-000347,MS-000401,AA-336-QK,10027889,2023-08-25,4.5,4455,0
FL-000348,MS-000402,AA-739-NW,10027889,2023-08-25,3.7,3671,0
