immatriculation,vehicule_id,marque,modele,type_vehicule,n_chassis,centre_service,localite,puissance_cv,imputation,date_premiere_circulation,annee_mise_en_service,date_acquisition,valeur_acquisition_fcfa,combustible,conso_nominale_l_100km,km_initial,date_visite_technique,etat_visite_technique,prochaine_visite_technique,date_souscription_assurance,etat_assurance,renouvellement_assurance,date_admission_temporaire,etat_at,renouvellement_at,etat_carte_grise,etat_vehicule,remarques
AA-831-RH,AA-831-RH,YAMAHA,MOTORCYCLE,Moto,ME1UE2713P0098794,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-833-RH,AA-833-RH,YAMAHA,MOTORCYCLE,Moto,ME1UE2713P0098788,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-685,WV-IT-685,YAMAHA,MOTORCYCLE,Moto,LBPKE135XN0084279,Kaffrine,Zone Centre,0,,,2026,7/29/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-639,WV-IT-639,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-640,WV-IT-640,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-574,WV-IT-574,TOYOTA,HILUX,Voiture,LAN125L1000680204,Fatick,Zone Centre,12,,,2026,,0,Gasoil,10,0,12/12/2026,BON,12/12/2027,6/30/2026,BON,6/30/2027,4/7/2027,BON,4/7/2028,BON,Fonctionnel,
WV-IT-633,WV-IT-633,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-636,WV-IT-636,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-582,WV-IT-582,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-602,WV-IT-602,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-578,WV-IT-578,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-599,WV-IT-599,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-604,WV-IT-604,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-603,WV-IT-603,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-585,WV-IT-585,YAMAHA,,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-579,WV-IT-579,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-483,WV-IT-483,TOYOTA,LAND CRUISER HARDTOP,Voiture,,Kedougou,Zone Sud,0,,,2026,,0,Gasoil,10,0,,PAS BON,,,PAS BON,,,BON,,PAS BON,Non Fonctionnel,
WV-IT-691,WV-IT-691,TOYOTA,HILUX,Voiture,AHTKB8CD902987298,Kolda,Zone Sud,12,,12/12/2023,2023,12/12/2023,0,Gasoil,10,0,,NEUF,,2/1/2026,BON,2/1/2027,,BON,,BON,Fonctionnel,
WV-IT-529,WV-IT-529,TOYOTA,HILUX,Voiture,AHTK8CD6001021951,Kolda,Zone Sud,0,,9/28/2017,2017,11/11/2016,0,Gasoil,10,0,6/22/2027,BON,6/22/2028,2/1/2026,BON,2/1/2027,,BON,,BON,Fonctionnel,
WV-IT-564,WV-IT-564,TOYOTA,HILUX,Voiture,AHTKB8CDX02969439,Kolda,Zone Sud,0,,,2026,2/19/2019,0,Gasoil,10,0,,PAS BON,,2/1/2026,BON,2/1/2027,,BON,,PAS BON,Fonctionnel,En panne
WV-IT-527,WV-IT-527,TOYOTA,LAND CRUISER HARDTOP,Voiture,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-518,WV-IT-518,TOYOTA,LAND CRUISER HARDTOP,Voiture,HZJ76L07031609,Kolda,Zone Sud,17,,,2026,,0,Gasoil,10,0,,,,,PAS BON,,,BON,,PAS BON,Non Fonctionnel,En panne
WV-IT-663,WV-IT-663,Suzuki,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-664,WV-IT-664,Suzuki,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-665,WV-IT-665,Suzuki,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-660,WV-IT-660,Suzuki,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-684,WV-IT-684,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
81787,81787,YAMAHA,MOTORCYCLE,Moto,81787,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-423-NX,AA-423-NX,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-425-NX,AA-425-NX,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-471-NX,AA-471-NX,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-488-QH,AA-488-QH,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-657-NW,AA-657-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-746-NW,AA-746-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-752-NW,AA-752-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-973-NW,AA-973-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-735-NW,AA-735-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-728-NW,AA-728-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-683-NW,AA-683-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-983-NW,AA-983-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-686,WV-IT-686,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-687,WV-IT-687,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-689,WV-IT-689,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-286-TE,AA-286-TE,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-853-QG,AA-853-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-905-QG,AA-905-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-497-QG,AA-497-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-897-QG,AA-897-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-891-QG,AA-891-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-834-QG,AA-834-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-885-QG,AA-885-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-858-QG,AA-858-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-814-QG,AA-814-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-665-QG,AA-665-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-299-TE,AA-299-TE,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-284-TE,AA-284-TE,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE SUD,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-565,WV-IT-565,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-661,WV-IT-661,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-662,WV-IT-662,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-742-NW,AA-742-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-658-NW,AA-658-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-733-NW,AA-733-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-968-NW,AA-968-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-690,WV-IT-690,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
987297,987297,YAMAHA,MOTORCYCLE,Moto,987297,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
987298,987298,YAMAHA,MOTORCYCLE,Moto,987298,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-638,WV-IT-638,YAMAHA,MOTORCYCLE,Moto,LPBKE1355L0070119,Kaffrine,Zone Centre,0,,,2026,3/26/2020,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-637,WV-IT-637,YAMAHA,MOTORCYCLE,Moto,LPBKE1359L0070161,Kaffrine,Zone Centre,0,,,2026,3/26/2020,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-572,WV-IT-572,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-489,WV-IT-489,TOYOTA,PRADO,Voiture,JTEBH9FJ005097849,Kolda,Zone Sud,12,Administration,2/2/2016,2016,,0,Gasoil,10,0,11/30/2026,BON,11/30/2027,2/1/2026,BON,2/1/2027,11/11/2026,BON,11/11/2027,BON,Non Fonctionnel,En panne
WV-IT-693,WV-IT-693,TOYOTA,PRADO,Voiture,JTEBR9FJ3OK335644,Kaffrine,Zone Centre,0,THRIVE DKR,,2026,3/5/2024,0,Gasoil,10,0,,NEUF,,2/1/2026,BON,2/1/2027,,BON,,BON,Fonctionnel,
WVIT694,WVIT694,TOYOTA,HILUX,Voiture,AHTKBBCD702987297,Kaffrine,Zone Centre,0,,,2026,12/12/2023,0,Gasoil,10,0,,,,,,,,,,,Fonctionnel,
AA-290-TE,AA-290-TE,YAMAHA,MOTORCYCLE,Moto,LBPKE1356R0088464,Kaffrine,Zone Centre,0,,,2026,,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-296-TE,AA-296-TE,YAMAHA,MOTORCYCLE,Moto,LBPKE1353R0088513,Kaffrine,Zone Centre,0,,,2026,7/29/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WVIT-700,WVIT-700,TOYOTA,HILUX,Voiture,AHTDK9CD4000978860,Tamba,Zone Centre,12,AP Tamba,3/21/2025,2025,9/30/2024,0,Gasoil,10,0,,NEUF,,,BON,,,BON,,BON,Fonctionnel,
